game_id,season_year,game_date,home_team_id,away_team_id
0021800932,2018-19,2019-03-01,1610612756,1610612740
0021800933,2018-19,2019-03-01,1610612758,1610612746
0021800934,2018-19,2019-03-01,1610612747,1610612749
0021800935,2018-19,2019-03-02,1610612739,1610612765
0021800936,2018-19,2019-03-02,1610612754,1610612753
0021800937,2018-19,2019-03-02,1610612748,1610612751
0021800938,2018-19,2019-03-02,1610612755,1610612744
0021800939,2018-19,2019-03-02,1610612742,1610612763
0021800940,2018-19,2019-03-02,1610612759,1610612760
0021800941,2018-19,2019-03-02,1610612743,1610612740
0021800942,2018-19,2019-03-02,1610612756,1610612747
0021800943,2018-19,2019-03-02,1610612762,1610612749
0021800944,2018-19,2019-03-03,1610612766,1610612757
0021800945,2018-19,2019-03-03,1610612738,1610612745
0021800946,2018-19,2019-03-03,1610612741,1610612737
0021800947,2018-19,2019-03-03,1610612746,1610612752
0021800948,2018-19,2019-03-03,1610612739,1610612753
0021800949,2018-19,2019-03-03,1610612765,1610612761
0021800950,2018-19,2019-03-03,1610612764,1610612750
0021800951,2018-19,2019-03-03,1610612760,1610612763
0021800952,2018-19,2019-03-04,1610612751,1610612742
0021800953,2018-19,2019-03-04,1610612748,1610612737
0021800954,2018-19,2019-03-04,1610612759,1610612743
0021800955,2018-19,2019-03-04,1610612756,1610612749
0021800956,2018-19,2019-03-04,1610612762,1610612740
0021800957,2018-19,2019-03-04,1610612758,1610612752
0021800958,2018-19,2019-03-04,1610612747,1610612746
0021800959,2018-19,2019-03-05,1610612754,1610612741
0021800960,2018-19,2019-03-05,1610612755,1610612753
0021800961,2018-19,2019-03-05,1610612761,1610612745
0021800962,2018-19,2019-03-05,1610612763,1610612757
0021800963,2018-19,2019-03-05,1610612750,1610612760
0021800964,2018-19,2019-03-05,1610612744,1610612738
0021800965,2018-19,2019-03-06,1610612766,1610612748
0021800966,2018-19,2019-03-06,1610612765,1610612750
0021800967,2018-19,2019-03-06,1610612764,1610612742
0021800968,2018-19,2019-03-06,1610612737,1610612759
0021800969,2018-19,2019-03-06,1610612751,1610612739
0021800970,2018-19,2019-03-06,1610612741,1610612755
